All 89 accesspoints
                             2 Pulls        10 Pulls        30 Pulls        60 Pulls       100 Pulls
   68:7f:74:ca:6d:7d               -               -           -85.0          -84.79          -84.45
   00:24:6c:60:cd:83           -76.0           -79.3          -79.93          -79.36          -78.94
   18:64:72:15:10:90          -51.67          -51.91          -48.84          -47.61          -47.74
   00:24:6c:60:cd:81           -72.0          -77.71          -78.11          -78.71          -78.37
   18:64:72:15:10:92          -52.67          -52.18          -49.06          -47.77          -47.89
   00:24:6c:d2:99:42               -               -           -83.5           -84.4          -84.57
   00:24:6c:5c:02:e2           -44.0          -41.91          -48.71          -49.54          -48.85
   00:24:6c:5c:02:e1           -44.0           -43.0           -49.0          -50.08          -49.24
   00:24:6c:d2:99:41               -               -               -           -85.0           -85.0
   00:1a:1e:22:a7:d1           -89.0          -88.63          -88.63           -89.1          -89.08
   00:12:17:b0:68:ca           -83.5           -84.4          -84.38          -84.23          -84.53
   00:24:6c:d2:99:60           -85.0           -83.5           -83.5           -83.5           -83.5
   00:24:6c:d2:99:61           -85.0           -85.0           -85.0           -85.0           -85.0
   00:24:6c:d2:99:62           -85.0          -83.71          -83.71          -83.71           -84.0
   00:24:6c:d2:99:43           -82.0           -82.0           -83.5          -83.67          -83.33
   00:24:6c:5e:c8:53               -               -           -90.0          -89.14           -89.2
   00:24:6c:5e:c8:52               -               -           -88.0          -88.67          -88.67
   00:24:6c:5c:02:e0           -41.0          -40.73           -47.9          -49.08          -49.02
   18:64:72:15:10:82           -60.0          -58.82          -61.77          -61.79           -61.5
   00:0f:66:8a:28:4a           -79.0           -79.0           -79.0           -79.0          -83.09
   00:24:6c:5c:01:b2               -               -               -           -88.5          -88.68
   00:24:6c:5c:01:b1               -           -88.0           -88.0          -87.67          -88.63
   00:1a:1e:22:a7:d0           -88.0           -87.5           -87.5           -87.5           -87.5
   00:24:6c:60:cc:c2           -72.0          -73.27          -69.81          -68.92          -69.55
   00:24:6c:60:cc:c1           -73.0          -73.55          -68.94          -68.77          -69.52
   00:24:6c:60:cc:c0           -76.0          -73.55          -68.65          -68.28          -68.74
   00:24:6c:d2:9a:32          -70.33          -70.73          -72.32          -72.95          -73.65
   00:24:6c:60:cd:82           -79.0          -81.63          -79.75          -79.47          -78.84
   00:24:6c:5c:01:21           -82.0           -81.4          -82.43          -82.96          -82.82
   00:24:6c:d2:9a:20           -66.0          -65.64          -60.81          -59.48          -60.01
   00:24:6c:d2:9a:21           -63.0          -63.73           -61.1          -60.49          -61.32
   00:24:6c:d2:9a:22           -62.0          -64.27          -60.71          -59.97          -60.52
   00:24:6c:d2:9a:30          -70.33          -70.64          -72.19          -72.87          -73.52
   00:24:6c:5c:02:f2          -66.67          -66.27          -63.42          -61.72          -61.65
